BF32C3BD5956B98D54EE7B57E0FB611B4CD3DF3F93EBE6E20B2F174B21EAB289,%WINDIR%\ASSEMBLY\NATIVEIMAGES_V4.0.30319_64\SYSTEM.CONFIGURATION\CB13F6DB4C48A7418C8315A596ED2EAE\SYSTEM.CONFIGURATION.NI.DLL,
0C3F864976FE0F7A5139ACBFF81EAEA207CC37200C7CE406EABE58E8AC9C3A3F,%WINDIR%\ASSEMBLY\NATIVEIMAGES_V4.0.30319_64\MMCFXCOMMON\47EC7E8EC28A6F92B69BC8DA68143B0F\MMCFXCOMMON.NI.DLL,
8349F2DEEC3A5C631DA58E7C9A938A140BF809939BC1F8DC6CD4A4E6E654C188,%WINDIR%\ASSEMBLY\NATIVEIMAGES_V4.0.30319_64\MMCEX\80AD9AD8C80CCDE8D0487755AFFD53C8\MMCEX.NI.DLL,
F35BF7CD783AEC1DC55210394B081C26EF142C7D94663125A99C4FB1D26FDBA8,%WINDIR%\ASSEMBLY\NATIVEIMAGES_V4.0.30319_64\SYSTEM\02FC59B055D2B1FCD94A42A8407EF372\SYSTEM.NI.DLL,
B48D038C5D3E7C97E06510CF0F3CA13C2A374400E2BEF91E8CC037682E067F73,%SYSTEM32%\SXS.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
AE5DDB55A7A6732FC38337E52A391FE28B72B262B5877C45B9B222251D07F083,%WINDIR%\ASSEMBLY\NATIVEIMAGES_V4.0.30319_64\MSCORLIB\F9F73F178CC2E4493598EE1BD411C3E8\MSCORLIB.NI.DLL,
EA01BB298283770D8A9CEB4053C33DB59907DB94E048211397D75A304AEF0DD5,%SYSTEM32%\MSVCR120_CLR0400.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
8CE45D9AC525FCCE0BA0A608D970E3D523C14DCA92C9E30900FE072C431EF57C,%WINDIR%\MICROSOFT.NET\FRAMEWORK64\V4.0.30319\CLR.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
97465C4EA95E17466064375B0AE92546A6B58194E8343CACDD6FD40EB7408885,%WINDIR%\MICROSOFT.NET\FRAMEWORK64\V4.0.30319\MSCOREEI.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
8F1C1BD5BA8F2FF0EA99F70067C24387ED3BB916ED5ADCB9774BEAAD14D1C601,%SYSTEM32%\MSCOREE.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
80CAEAE13AF0F3E4DD89A3E218CE99A060629DEA7FF6A83797FC3C215A5AEA07,%SYSTEM32%\XMLLITE.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
CB08602A4A76DD363F43710C3A0FDF04937CFCB5B8F9EC6331DA8672C084F441,%SYSTEM32%\MLANG.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
0A4EB368A5051022C46E32A2CC8510E73461FDCCDA03992FC270210540243844,%SYSTEM32%\PROPSYS.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
40AED7CA8A619F65F8977A9BF1B41C09305C7F7462A5A9F8A01E66F1706906E1,%SYSTEM32%\BCRYPT.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
0F69E65D0C398045D7A7255E9B14C2863099814F209890859A61DFAE79B18F39,%SYSTEM32%\RSAENH.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
32711E939EBCBA6BE0ABDBDF8DF84A476E34F5C77EB70C2DFA4FEE2972D86F80,%SYSTEM32%\CRYPTSP.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
1D7C90440B5E2B0FADDC57E08A3F101F1F103207790FBBDED280A824FC091EE3,%SYSTEM32%\OLEACC.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
0B36D375D6E5BAB740233B3E7C7BC3D6F34D556621DB93200497AC85843CE4A7,%SYSTEM32%\ELSEXT.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
7F5647E8C17355EF60A035A7E6D88F9726DE50424EF9A77275D226E810F88618,%SYSTEM32%\DWMAPI.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
6847D8A44CCFFAF86361DF1EE7A105115C6CA5EC0C8186EC0FBFBD84D77DE4B7,%SYSTEM32%\RICHED32.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
B97BE4D49CFAC727EDD852D4F15297B237A8D9A65723B14EFBD0DE5263F67B29,%SYSTEM32%\ADSLDPC.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
41E28C7B9A6F185A85C5E2E89043E19D098A60773F798CCB42C453B8228B8DF2,%SYSTEM32%\MPR.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
5E5E39BBC665F3F88C7A328271D0E9A58A4D5A87956281B9D99DC5D3B0D5B6D6,%SYSTEM32%\ACTIVEDS.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
0E58E45762BEA8DE36574719DD430F1B0CECBBEBD3D26F53FC64EEB092B17E29,%SYSTEM32%\VERSION.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
7C8E527918E6A73898A88D18188D913BAF45BDA1151CD1B2CBD291428677B304,%SYSTEM32%\NTDSAPI.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
6154F5115E7C9E36263CCAB0A70F27A8FC9EE1C869EAB7B6967A1E8E55D4C658,%SYSTEM32%\WKSCLI.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
78109F90CE8095CDE2650E065CFAB348030939C99E428F172D726077C4611677,%SYSTEM32%\SRVCLI.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
06B9DE30CC3606F184705A6F767297381BE19006E3471BB39289B0A64D3DBB69,%SYSTEM32%\LOGONCLI.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
5802248486A4F9902177DB283DB701C5FEA128E12D889191ACB315282564F62D,%SYSTEM32%\DSROLE.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
